,,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA
,,of ratio,pressure,temperature,density,specific volume,enthalpy,internal energy,gibbs,entropy,molar mass,c_p,c_v,gamma,gamma_s,speed sound,velocity,mach,area ratio,I_sp,I_vac,c*,C_f,dlnV_dlnT_P,dlnV_dlnP_T,of ratio,pressure,temperature,density,specific volume,enthalpy,internal energy,gibbs,entropy,molar mass,c_p,c_v,gamma,gamma_s,speed sound,velocity,mach,area ratio,I_sp,I_vac,c*,C_f,dlnV_dlnP_T,dlnV_dlnT_P
3,chamber,2.5,2000000.0000000028,3088.611382476122,1.4283253125928745,0.7001206176096362,-1878903.4500469079,-3279144.685266182,-44402071.12185836,13767.730026857855,18.339799768558358,4469.342589686863,4135.968419760581,1.0806036545959845,0.5413956916362359,870.6805223496827,0.0,0.0,,,,1895.5425830959591,,1.211496027262239,-1.9959590947798727,2.5,20.0,3089.4,1.428,0.700280112044818,-1878900.0,0,0,0,18.341,4459.8,3802.426813355184,1.172882535,1.1605,1274.9,0.0,0.0,,0.0,0.0,1844.4,0.0,-1.01067,1.2105
3,throat,2.5,1533796.091070583,2987.857461748336,1.1366772988165066,0.8797571668240289,-2243758.3708043154,-3593126.474370342,-43379773.262827285,13767.730026837475,18.410416778360723,4175.147743993113,3862.9471458824287,1.0808192776966838,0.5407613400812212,854.2166610100863,854.2166610100863,1.0,,,,,,1.1754531016482974,-1.998699236773004,2.5,11.407,2875.6,0.88171,1.1341597577434757,-2635200.0,0,0,0,18.481,3854.4,3275.6560144079235,1.17668033,1.169,1229.8,1030.6,1.0,1.0,125.36187563710499,232.5993883792049,0.0,0.66677,-1.00657,1.138
3,exit,2.5,101325.0000425939,1957.7382976687584,0.11646752257837083,8.586084582739376,-5240435.948976833,-6110420.969688616,-32194048.294770174,13767.730026985346,18.710140409976606,2479.0236811445016,2254.5835451302355,1.099548378457318,0.5496648135372536,691.5201762709064,2592.8873862664864,3.749546976704133,3.2152646954762067,264.40093062019,298.6152137006524,,1.3678866459605277,1.0051477278002492,-2.0003979723231744,2.5,1.0132,1957.5,0.11648,8.585164835164836,-5240600.0,0,0,0,18.71,2478.5,2029.6944469563005,1.2211197620000003,1.2209,1030.6,2592.9896,2.516,3.5903,264.322120285423,298.5117227319062,0.0,1.4058,-1.00018,1.0051
4,chamber,3.0,1999999.9999999946,3325.7889155010794,1.4590416390962924,0.6853813991349722,-1694742.906304035,-3065505.704573976,-45321898.793746255,13117.836698565443,20.172817389487296,7103.951232809362,6546.575918318905,1.085139975682675,0.5742266208490556,887.2026203952195,0.0,0.0,,,,1872.5924472958072,,1.598605384789217,-1.8897416739025075,3.0,20.0,3327.3,1.4586,0.6855889208830386,-1694800.0,0,0,0,20.175,7087.799999999999,6069.341089046642,1.1678038679999998,1.1319,1245.8,0.0,0.0,,0.0,0.0,1844.5,0.0,-1.03172,1.5968
4,throat,3.0,1511640.1845480292,3240.436213544489,1.139229976599331,0.8777858909445653,-2072312.5037886985,-3399208.929969797,-44579825.5851371,13117.836698551264,20.30488984100142,6837.949030329219,6318.040194947632,1.0822895738772513,0.5690907173250932,868.9789634919272,868.9789634919272,1.0,,,,,,1.5539169780113353,-1.9017874320009214,3.0,11.565,3161.7,0.8988,1.1125945705384956,-2422400.0,0,0,0,20.43,6533.599999999999,5632.913714195583,1.1598970499999999,1.131,1206.4,1052.7,1.0,1.0,122.97655453618756,231.70234454638123,0.0,0.65402,-1.02555,1.5066
4,exit,3.0,101325.00000000095,2435.9883221728405,0.10628366741208675,9.40878334695363,-5141314.3919656435,-6094659.364595729,-37096211.40184147,13117.836698565474,21.2451257671055,3257.734078275886,3024.1165411286306,1.0772514993949496,0.5393137713462298,717.0439823212378,2625.4795697782943,3.661532115894771,3.5476885982011748,267.72440841452425,304.75159904065356,,1.402056049926787,1.0919508226197518,-1.997448529278095,3.0,1.0132,2436.0,0.10628,9.40910801656003,-5142000.0,0,0,0,21.245,3250.9,2786.4141631505963,1.166696625,1.1625,1052.7,2625.6443400000003,2.4942,3.8853,267.6554536187563,304.66870540265035,0.0,1.4235,-1.00361,1.0913
5,chamber,3.5,1999999.999999996,3389.6912937715733,1.5311463282593565,0.6531054423366732,-1551506.92602791,-2857717.810701254,-44134655.791091755,12562.544838023668,21.576501834304757,8584.341774259765,7795.645710734467,1.101171358062011,0.6439225483280223,917.114301225676,0.0,0.0,,,,1818.1443917166737,,1.8708496978848885,-1.7100990808929715,3.5,20.0,3391.4,1.5306,0.6533385600418137,-1551500.0,0,0,0,21.58,8568.8,7282.589528647974,1.17661444,1.124,1211.9,0.0,0.0,,0.0,0.0,1806.1,0.0,-1.04681,1.8692
5,throat,3.5,1460547.0542337159,3302.009384466416,1.157273000810134,0.8641003456401065,-1955099.5550707357,-3217158.7694577286,-43436740.502954155,12562.544838008263,21.75368103094304,8526.10764060879,7766.551320126552,1.0977984035866593,0.6395861360686109,898.4406360019362,898.4406360019362,1.0,,,,,,1.8468901004476606,-1.7164199498359578,3.5,11.61,3241.7,0.9427,1.0607828577490188,-2241500.0,0,0,0,21.885,8450.900000000001,7235.948377169321,1.16790496,1.1204,1174.7,1032.2,1.0,1.0,119.74515800203874,226.6156982670744,0.0,0.65041,-1.0424,1.8259
5,exit,3.5,101325.00000000189,2664.562673834756,0.10587617061411536,9.44499592495349,-4891926.1796491025,-5848940.391745033,-38365614.24083867,12562.54483705398,23.149506522798415,6696.646737500694,6244.483681991424,1.072409998734286,0.5893814761242082,751.0302583764155,2584.7318056700556,3.441581450070672,3.7993691820502593,263.5692928441472,301.32496660433117,,1.4216317567767969,1.5135037451043916,-1.8195515844618821,3.5,1.0132,2665.4,0.10586,9.446438692612885,-4892900.0,0,0,0,23.152,6680.5,5876.719453954986,1.1367736800000001,1.113,1032.2,2585.24812,2.5046,4.0467,263.5168195718654,301.26401630988784,0.0,1.4313,-1.02136,1.5118
6,chamber,4.0,2000000.0000000007,3387.846141041643,1.612341452003289,0.620216021090029,-1436918.1439721866,-2677350.186152245,-42409370.13828234,12093.952998028586,22.708313827688617,8582.938638038762,7720.120418103088,1.1117622748360805,0.7065842056208194,936.1995989907319,0.0,0.0,,,,1765.570326524744,,1.9255686598208857,-1.5734321061695165,4.0,20.0,3389.6,1.6118,0.6204243702692642,-1436900.0,0,0,0,22.712,8568.699999999999,7277.435199024523,1.17743405,1.1219,1179.9,0.0,0.0,,0.0,0.0,1761.3,0.0,-1.0495,1.924
